Token,Type,Meaning
ROFL,Slang,Rolling on the floor laughing
TTYL,Slang,Talk to you later
BRB,Slang,Be right back
LMAO,Slang,Laughing my ass off
SMH,Slang,Shaking my head
TBH,Slang,To be honest
IMO,Slang,In my opinion
GTG,Slang,Got to go
IDK,Slang,I don't know
IDC,Slang,I don't care
YOLO,Slang,You only live once
BAE,Slang,Before anyone else / Baby
FOMO,Slang,Fear of missing out
TBT,Slang,Throwback Thursday
AFK,Slang,Away from keyboard
JK,Slang,Just kidding
OMW,Slang,On my way
RN,Slang,Right now
IRL,Slang,In real life
BTW,Slang,By the way
:-),Emoticon,Classic happy face
:),Emoticon,Happy face
;),Emoticon,Winking face
:-(,Emoticon,Sad face
:(,Emoticon,Sad face
:D,Emoticon,Big grin
xD,Emoticon,Laughing hard face
:P,Emoticon,Tongue sticking out
:O,Emoticon,Surprised / Shocked face
<3,Emoticon,Heart / Love
</3,Emoticon,Broken heart
:*,Emoticon,Kiss
O_o,Emoticon,Confused / Raised eyebrow
-_-,Emoticon,Annoyed / Unamused face
T_T,Emoticon,Crying eyes
^_^,Emoticon,Kaoani happy face
=/,Emoticon,Unsure / Skeptical
:X,Emoticon,Lips are sealed / Silent
>:(,Emoticon,Angry face
8),Emoticon,Cool / Wearing glasses
>:o,Emoticon,Angry / shocked face
:S,Emoticon,Confused / uncertain
(:,Emoticon,Happy face (reversed smiley)
):,Emoticon,Sad face (reversed frown)
Doh,Expression,Expression of frustration or realizing a mistake
Duh,Expression,Expression indicating something is obvious
uwu,Emoticon,Cute or affectionate expression
np,Slang,No problem
yw,Slang,You're welcome
thankx,Slang,Thanks
tho,Slang,Though
iirc,Slang,If I recall correctly
atm,Slang,At the moment
msg,Slang,Message
t.a.,Slang,Thanks all
thx,Slang,Thanks
darn,Slang,Mild expression of frustration or annoyance
coolz,Slang,"Playful variant of ""cool"" / expressing approval"
LOL,Slang,Laughing out loud
OMG,Slang,Oh my god
WTF,Slang,What the fuck (shock / disbelief)
WTH,Slang,"What the hell (shock / disbelief, milder)"
FYI,Slang,For your information
ASAP,Slang,As soon as possible
NVM,Slang,Never mind
NBD,Slang,No big deal
TY,Slang,Thank you
PLS,Slang,Please
CU,Slang,See you
CYA,Slang,See you
IMHO,Slang,In my humble opinion
AFAIK,Slang,As far as I know
FTW,Slang,For the win
FTL,Slang,For the loss
FTFY,Slang,Fixed that for you
TL;DR,Slang,Too long; didn't read
YMMV,Slang,Your mileage may vary
FWIW,Slang,For what it's worth
IKR,Slang,"I know, right?"
OMFG,Slang,Oh my fucking god
LMK,Slang,Let me know
GTFO,Slang,Get the fuck out
STFU,Slang,Shut the fuck up
IDGAF,Slang,I don't give a fuck
IANAL,Slang,I am not a lawyer
GG,Slang,Good game
1,Slang,"Agreement / ""I second this"""
U,Textese,You
UR,Textese,Your / You're
R,Textese,Are
B4,Textese,Before
2DAY,Textese,Today
2MORO,Textese,Tomorrow
L8R,Textese,Later
GR8,Textese,Great
W8,Textese,Wait
IRC,Technical/IRC,Internet Relay Chat
PM,Technical/IRC,Private message
DM,Technical/IRC,Direct message
OP,Technical/IRC,Channel operator / original poster (context dependent)
RTFM,Technical/IRC,Read the fucking manual
FAQ,Technical/IRC,Frequently asked questions
WB,Technical/IRC,Welcome back
BBL,Technical/IRC,Be back later
BBIAB,Technical/IRC,Be back in a bit
ASL,Technical/IRC,Age / sex / location (2000s-era chat icebreaker)
:'(,Emoticon,Crying
:-D,Emoticon,Big grin (dash variant)
:-P,Emoticon,Tongue out (dash variant)
;-),Emoticon,Wink (dash variant)
:-\,Emoticon,Skeptical / unsure
:@,Emoticon,Angry / screaming
D:,Emoticon,Dismay / shock
:|,Emoticon,Neutral / straight face
xx,Emoticon,Kisses
o/,Emoticon,Wave hello
\o,Emoticon,Wave goodbye
meh,Expression,Indifference / unimpressed
ugh,Expression,Frustration or annoyance
hmm,Expression,Thinking / considering
bah,Expression,Dismissive frustration
argh,Expression,Frustration or exasperation
PFP,Slang,Profile picture
DP,Slang,Display picture
B),Emoticon,Cool / wearing sunglasses (variant of 8))
☹,Emoticon,Sad / frowning face
☺,Emoticon,Happy / smiling face
💩,Emoticon,"Poop emoji - joking disgust, or ""that's crap"""
♀,Symbol,Female / woman sign
∞,Symbol,Infinity - forever / unlimited
😁,Emoticon,Grinning / big happy smile
😈,Emoticon,Devil / mischievous smirk
😐,Emoticon,Unamused / deadpan / blank expression
😘,Emoticon,Kiss / blowing a kiss
😠,Emoticon,Angry
😨,Emoticon,Fearful / nervous / dread
😰,Emoticon,Anxious / nervous sweat
😸,Emoticon,Happy / grinning cat face
🙀,Emoticon,Shocked / scared cat face
🙈,Emoticon,"""Can't look"" / embarrassed (see-no-evil monkey)"
❶,Symbol,Circled number 1 (list marker)
❷,Symbol,Circled number 2 (list marker)
❸,Symbol,Circled number 3 (list marker)
❹,Symbol,Circled number 4 (list marker)
❺,Symbol,Circled number 5 (list marker)
❻,Symbol,Circled number 6 (list marker)
❼,Symbol,Circled number 7 (list marker)
❽,Symbol,Circled number 8 (list marker)
❾,Symbol,Circled number 9 (list marker)
❿,Symbol,Circled number 10 (list marker)
✗,Symbol,X mark - wrong / no / cancel
✘,Symbol,X mark (heavy) - wrong / no / cancel
⇛,Symbol,Right arrow (fast-forward / strong emphasis)
⌘,Symbol,"Command/keyboard-shortcut symbol (Mac ""place of interest"" mark)"
✤,Symbol,Decorative asterisk / flower ornament
✺,Symbol,Decorative sparkle / star ornament
✽,Symbol,Decorative asterisk / flower ornament
✿,Symbol,Flower
❆,Symbol,Snowflake
✎,Symbol,Pencil - writing / editing
☎,Symbol,Telephone / call
☞,Symbol,"Pointing hand (outline, right)"
☛,Symbol,"Pointing hand (filled, right)"
＼,Symbol,Backslash (fullwidth)
≤,Symbol,Less than or equal to
✂,Symbol,Scissors - cut
✔,Symbol,Checkmark - done / correct
✓,Symbol,Checkmark - done / correct
√,Symbol,Square root (also informally reused as a checkmark)
₁,Symbol,Subscript 1
³,Symbol,"Superscript 3 (also literally ""cubed"")"
≠,Symbol,Not equal to
☠,Emoticon,Skull and crossbones - danger / death / pirate
☻,Emoticon,Smiley face (filled variant of the outline smiley)
❄,Symbol,Snowflake
❅,Symbol,Snowflake (variant)
℃,Symbol,Degrees Celsius
℉,Symbol,Degrees Fahrenheit
♫,Symbol,Music notes (multiple)
♪,Symbol,Music note (single)
＠,Symbol,At sign (fullwidth) - email / mention
☆,Emoticon,Star
✌,Emoticon,Peace sign / victory sign
↓,Symbol,Down arrow
¾,Symbol,Three quarters (3/4)
¼,Symbol,One quarter (1/4)
½,Symbol,One half (1/2)
➜,Symbol,Right arrow (variant)
➔,Symbol,Right arrow (variant)
➲,Symbol,Right arrow (circled variant)
→,Symbol,Right arrow (standard)
©,Symbol,Copyright - also used jokingly for mock-official attribution
±,Symbol,Plus or minus
𝑮,Symbol,"Stylized ""fancy font"" letter (Mathematical Bold Italic) - decorative text styling only, no separate meaning"
÷,Symbol,Division
®,Symbol,Registered trademark
™,Symbol,"Trademark - also used jokingly (e.g. ""expert(TM)"")"
¿,Symbol,Inverted question mark (Spanish-style; sometimes used decoratively/ironically in English chat)
⸮,Symbol,"Percontation mark - historical ""backwards"" question mark used to flag irony or rhetorical questions"
⍨,Emoticon,Cute / smug face
¯\_(ツ)_/¯,Kaomoji,"Shrug - ""I don't know"" / indifference"
( ͡° ͜ʖ ͡°),Kaomoji,"""Lenny face"" - mischievous, suggestive meme expression"
(ಠ_ಠ),Kaomoji,"""Really?"" - disapproval / disbelief stare"
(╯°□°)╯︵ ┻━┻,Kaomoji,Table flip - rage / frustration
┬─┬ノ( º _ ºノ),Kaomoji,Putting the table back - calming down after a table flip
_(:3 」∠)_,Kaomoji,"""I give up"" - exhausted, lying face-down in defeat"
(－‸ლ),Kaomoji,Facepalm
m(_ _)m,Kaomoji,"Bowing apology / deep thanks (""I'm sorry"" / ""thank you"")"
(*ﾉωﾉ),Kaomoji,"Blushing / embarrassed, covering face"
(/ω＼),Kaomoji,"Shy / embarrassed, hiding face"
(T_T),Kaomoji,Crying
(ಥ﹏ಥ),Kaomoji,Crying (big tears)
(╥_╥),Kaomoji,Crying
(ﾉД`),Kaomoji,Crying / distressed
"(╯︵╰,)",Kaomoji,Disappointed / sad
(¬_¬),Kaomoji,"Skeptical side-eye (""seriously?"")"
(￢_￢),Kaomoji,Skeptical side-eye (variant)
┐(￣ヘ￣)┌,Kaomoji,Shrug
ヽ(￣～￣　)ノ,Kaomoji,Shrug / disbelief
w(°ｏ°)w,Kaomoji,Shocked
Σ(°ロ°),Kaomoji,"""OMG!"" - shocked reaction"
(＠_＠),Kaomoji,Dizzy / confused
(・・?),Kaomoji,"""Huh?"" - confused"
o(TヘTo),Kaomoji,Crying
(>_<),Kaomoji,"Wincing - pain, frustration, or embarrassment (context-dependent)"
ヽ(・∀・)ﾉ,Kaomoji,"Cheerful, arms raised in celebration"
(￣▽￣),Kaomoji,"Content, relaxed smile"
( ´ ▽ `),Kaomoji,"Happy, pleased smile"
(o^▽^o),Kaomoji,Cheerful smile
(≧▽≦),Kaomoji,"Beaming, laughing happily"
＼(≧▽≦)／,Kaomoji,Big cheer / celebration
٩(◕‿◕)۶,Kaomoji,"Excited, happy cheer"
(´｡• ω •｡`),Kaomoji,"Cute, contented smile"
(⌒▽⌒)☆,Kaomoji,"Happy, starry-eyed smile"
(o_ _)ﾉ彡☆,Kaomoji,"Playful toss/bonk - joking ""good job"" or ""ta-da"""
(¬‿¬),Kaomoji,Smug / sly smirk
(￢‿￢ ),Kaomoji,Smug / sly smirk (variant)
(눈_눈),Kaomoji,"Deadpan stare, unimpressed"
(￣ω￣;),Kaomoji,"Awkward, nervous smile"
(￣～￣;),Kaomoji,Awkward discomfort
(・・;),Kaomoji,"Nervous, uneasy"
(ーー;),Kaomoji,"Nervous sweat, awkward"
(╮￣ω￣;)╭,Kaomoji,Awkward shrug
(ノ_<。),Kaomoji,"Sad, pouting"
(ノД`),Kaomoji,"Crying, distressed (fullwidth-katakana variant of the other ノД entry)"
(╥ω╥),Kaomoji,Crying
(ﾉಥ益ಥ)ﾉ,Kaomoji,"Furious, enraged tears"
(＃`Д´),Kaomoji,Angry
(╬`益´),Kaomoji,"Furious, enraged"
凸(`△´＃),Kaomoji,"Angry, flipping someone off"
(ノ°益°)ノ,Kaomoji,"Furious, throwing hands up in rage"
(×_×),Kaomoji,Dazed / knocked out
(x_x),Kaomoji,Dazed / knocked out (variant)
(ノωヽ),Kaomoji,"Scared, covering face"
