glue,term,count,examples,safe_to_batch_approve
prefix,config,4260,"['configs', 'configuration', 'configure', 'configureatiojn', 'configured']",False
prefix,free,4197,"['freenode', 'freenx', 'freeorion', 'freeze', 'freezing']",False
prefix,driver,3278,"['Drivers', 'driverloader', 'drivers', 'driverse', 'driversw']",False
prefix,sound,3253,"['soundblaster', 'soundconverter', 'sounding', 'soundkarten', 'sounds']",False
prefix,edit,2870,"['edited', 'editing', 'editor', 'editors', 'edits']",False
prefix,user,2766,"['user289584', 'usermod', 'userpassword', 'users', 'userspace']",False
prefix,package,2686,"['Packages', 'packagemanager', 'packagement', 'packagename', 'packages']",False
prefix,support,2560,"['supported', 'supporting', 'supportred', 'supportroot', 'supports']",False
prefix,partition,2552,"['partitioner', 'partitioning', 'partitionning', 'partitions', 'partitionstyle']",False
prefix,help,2551,"['helpedXD', 'helpful', 'helping', 'helpp', 'helps']",False
prefix,ubuntu,2475,"['ubuntu0ops', 'ubuntu12', 'ubuntuone', 'ubuntuserver', 'ubuntustudio']",False
prefix,error,2396,"['Error2', 'error404notfound', 'errorlog', 'errormessage', 'errors']",False
prefix,list,2344,"['lista', 'listed', 'listen', 'listening', 'lists']",False
prefix,gnome,2327,"['GNOME3', 'Gnome3', 'gnome2', 'gnome3', 'gnomechat']",False
prefix,alsa,2303,"['Alsamixer', 'alsaconf', 'alsactl', 'alsamixer', 'alsamixergui']",False
prefix,make,2300,"['Makes', 'makefile', 'makepkg', 'makers', 'makes']",False
prefix,program,2186,"['program1', 'program2', 'programmare', 'programms', 'programs']",False
prefix,line,2068,"['linea', 'lined', 'linenumber', 'liner', 'lines']",False
prefix,wine,1990,"['WineHQ', 'wine1', 'wineboot', 'winehq', 'winetricks']",False
prefix,link,1974,"['Linksys', 'linked', 'links', 'links2', 'linksys']",False
prefix,command,1963,"['Commands', 'commandhere', 'commandl', 'commandline', 'commands']",False
prefix,quit,1957,"['QUITE', 'quite', 'quiting', 'quits', 'quitstorm']",False
prefix,boot,1850,"['BOOTLOGD_ENABLE', 'bootinfo', 'bootoption', 'boots', 'bootup']",False
prefix,download,1809,"['DownloadHelper', 'downloaded', 'downloadig', 'downloading', 'downloadmanger']",False
prefix,enable,1743,"['EnableFastWrites', 'Enabled', 'enabled', 'enables', 'enablesources']",False
prefix,print,1688,"['printed', 'printer', 'printerdriver', 'printers', 'printing']",False
prefix,game,1578,"['GameBoy', 'gamecast', 'gameplay', 'games', 'gameservers']",False
prefix,wlan,1457,"['WLANO', 'wlan0', 'wlan1', 'wlan2', 'wlans']",False
