word,total_count,categories
2,13430,has_digit|mismatch_has_digit
0,8910,has_digit|mismatch_has_digit
3,7607,has_digit|mismatch_has_digit
4,5824,has_digit|mismatch_has_digit
etc,5136,mismatch_plain|plain
5,5094,has_digit|mismatch_has_digit
6,5053,has_digit|mismatch_has_digit
10,4075,has_digit|mismatch_has_digit
xchat,3876,mismatch_plain|plain
cpu,3736,mismatch_plain|plain
mp,3573,mismatch_plain|plain
xorg,3331,mismatch_plain|plain
64,3130,has_digit|mismatch_has_digit
hd,3055,mismatch_plain|plain
8,3031,has_digit|mismatch_has_digit
ubotu,2896,mismatch_plain|plain
xubuntu,2847,mismatch_plain|plain
apps,2721,mismatch_plain|plain
codecs,2481,mismatch_plain|plain
32,2447,has_digit|mismatch_has_digit
gaim,2298,mismatch_plain|plain
mp3,2269,has_digit|mismatch_has_digit
100,2135,has_digit|mismatch_has_digit
cli,2048,mismatch_plain|plain
multiverse,1974,mismatch_plain|plain
eth0,1959,has_digit|mismatch_has_digit
9,1946,has_digit|mismatch_has_digit
7,1898,has_digit|mismatch_has_digit
3d,1840,has_digit|mismatch_has_digit
chipset,1815,mismatch_plain|plain
freenode,1810,mismatch_plain|plain
thnx,1805,mismatch_plain|plain
conf,1760,mismatch_plain|plain
ubottu,1746,mismatch_plain|plain
k3b,1696,has_digit|mismatch_has_digit
dd,1690,mismatch_plain|plain
20,1683,has_digit|mismatch_has_digit
alsamixer,1672,mismatch_plain|plain
ide,1623,mismatch_plain|plain
cedega,1614,mismatch_plain|plain
sda,1539,mismatch_plain|plain
nm,1535,mismatch_plain|plain
wpa,1510,mismatch_plain|plain
ot,1504,mismatch_plain|plain
fsck,1486,mismatch_plain|plain
gconf,1485,mismatch_plain|plain
acpi,1450,mismatch_plain|plain
15,1444,has_digit|mismatch_has_digit
hp,1422,mismatch_plain|plain
ff,1400,mismatch_plain|plain
webcam,1384,mismatch_plain|plain
iwconfig,1366,mismatch_plain|plain
amd64,1362,has_digit|mismatch_has_digit
uname,1346,mismatch_plain|plain
lts,1320,mismatch_plain|plain
su,1319,mismatch_plain|plain
backports,1316,mismatch_plain|plain
hrm,1296,mismatch_plain|plain
